timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img17.txt 0.01;fast;slow;slow;slow;slow;fast;361.16503977775574;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img41.txt 0.01;fast;slow;slow;slow;fast;fast;362.1356694698334;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img88.txt 0.01;fast;slow;slow;slow;slow;slow;276.60961842536926;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img3.txt 0.01;fast;slow;slow;slow;slow;slow;242.0644109249115;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img5.txt 0.01;fast;slow;slow;slow;fast;fast;363.43361258506775;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img92.txt 0.01;fast;slow;slow;slow;fast;fast;366.59576296806335;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img22.txt 0.01;fast;slow;slow;slow;slow;fast;361.1518397331238;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img64.txt 0.01;fast;slow;slow;slow;fast;fast;366.73200368881226;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img65.txt 0.01;fast;slow;slow;slow;fast;fast;365.7992639541626;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img93.txt 0.01;fast;slow;slow;slow;slow;slow;321.2745659351349;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img47.txt 0.01;fast;slow;slow;slow;fast;fast;364.30950140953064;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img89.txt 0.01;fast;slow;slow;slow;fast;fast;362.595251083374;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img91.txt 0.01;fast;slow;slow;slow;slow;slow;362.2609610557556;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img85.txt 0.01;fast;slow;slow;slow;slow;slow;195.51542925834656;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img63.txt 0.01;fast;slow;slow;slow;fast;fast;362.65500569343567;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img69.txt 0.01;fast;slow;slow;slow;slow;slow;275.35008668899536;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img42.txt 0.01;fast;slow;slow;slow;slow;slow;303.72176909446716;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img26.txt 0.01;fast;slow;slow;slow;fast;fast;364.18256640434265;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img82.txt 0.01;fast;slow;slow;slow;slow;fast;363.80528831481934;verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img16.txt 0.01;fast;slow;slow;slow;slow;fast;364.4325144290924;failed cannot
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_200.txt ../mnist_images/img8.txt 0.01;fast;slow;slow;slow;slow;fast;361.27986431121826;failed cannot
