timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img21.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img70.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img2.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img17.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img41.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img88.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img3.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img5.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img92.txt 0.01; image not correctly classified by the network. expected label  9  classified label:  4
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img22.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img64.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img65.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img93.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img47.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img89.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img91.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img85.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img63.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img69.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img42.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img26.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img82.txt 0.01; verified
